2017-10-29 12:22:24,897 - __logger__ - DEBUG - The server's logger has been initialized!
2017-10-29 12:22:24,903 - __logger__ - INFO - Enters the main loop
2017-10-29 12:22:28,327 - __logger__ - INFO - Got connection from: ('2.55.48.157', 27235)
2017-10-29 23:39:49,594 - __logger__ - INFO - Got connection from: ('146.0.78.26', 40165)
2017-10-29 23:39:59,019 - __logger__ - INFO - Got connection from: ('146.0.78.26', 43087)
2017-10-29 23:40:10,573 - __logger__ - DEBUG - [139659800135424, (146.0.78.26:43087)] Packet with invalid prefix or suffix has been received!
2017-10-29 23:40:17,913 - __logger__ - DEBUG - [139659800135424, (146.0.78.26:43087)] Packet with invalid prefix or suffix has been received!
2017-10-29 23:40:25,975 - __logger__ - DEBUG - [139659800135424, (146.0.78.26:43087)] Packet with less data than possible minimal has received!
2017-10-29 23:40:28,146 - __logger__ - DEBUG - [139659800135424, (146.0.78.26:43087)] Packet with invalid prefix or suffix has been received!
2017-10-29 23:40:35,383 - __logger__ - INFO - Got connection from: ('146.0.78.26', 48052)
2017-10-31 23:31:03,185 - __logger__ - INFO - Got connection from: ('139.60.160.135', 1704)
2017-10-31 23:31:03,186 - __logger__ - DEBUG - [139659800135424, (139.60.160.135:1704)] Packet with invalid prefix or suffix has been received!
2017-11-01 07:40:37,191 - __logger__ - INFO - Got connection from: ('146.0.78.62', 18344)
2017-11-01 07:40:37,367 - __logger__ - INFO - Got connection from: ('146.0.78.62', 19019)
2017-11-01 07:40:37,367 - __logger__ - DEBUG - [139659800135424, (146.0.78.62:19019)] Packet with invalid prefix or suffix has been received!
2017-11-01 07:40:37,543 - __logger__ - DEBUG - [139659800135424, (146.0.78.62:19019)] Packet with invalid prefix or suffix has been received!
2017-11-01 07:40:37,717 - __logger__ - INFO - Got connection from: ('146.0.78.62', 20034)
2017-11-01 07:40:37,718 - __logger__ - DEBUG - [139659800135424, (146.0.78.62:20034)] Packet with invalid prefix or suffix has been received!
2017-11-01 07:40:37,892 - __logger__ - DEBUG - [139659800135424, (146.0.78.62:20034)] Packet with invalid prefix or suffix has been received!
2017-11-01 14:23:10,581 - __logger__ - INFO - Got connection from: ('5.39.218.19', 54970)
2017-11-01 14:23:10,754 - __logger__ - INFO - Got connection from: ('5.39.218.19', 59107)
2017-11-01 14:23:10,755 - __logger__ - DEBUG - [139659800135424, (5.39.218.19:59107)] Packet with invalid prefix or suffix has been received!
2017-11-01 14:23:10,929 - __logger__ - DEBUG - [139659800135424, (5.39.218.19:59107)] Packet with invalid prefix or suffix has been received!
2017-11-01 14:23:11,101 - __logger__ - INFO - Got connection from: ('5.39.218.19', 8752)
2017-11-01 14:23:11,102 - __logger__ - DEBUG - [139659800135424, (5.39.218.19:8752)] Packet with invalid prefix or suffix has been received!
2017-11-01 14:23:11,275 - __logger__ - DEBUG - [139659800135424, (5.39.218.19:8752)] Packet with invalid prefix or suffix has been received!
2017-11-01 15:53:19,735 - __logger__ - INFO - Got connection from: ('91.200.12.124', 2066)
2017-11-01 15:53:19,736 - __logger__ - DEBUG - [139659800135424, (91.200.12.124:2066)] Packet with invalid prefix or suffix has been received!
2017-11-02 10:56:29,021 - __logger__ - INFO - Got connection from: ('2.55.13.196', 59322)
2017-11-02 11:05:12,669 - __logger__ - INFO - Got connection from: ('2.55.13.196', 59242)
2017-11-02 11:10:25,653 - __logger__ - INFO - Got connection from: ('2.55.13.196', 59012)
2017-11-02 11:10:41,865 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] Authentication success with user giggs!
2017-11-02 11:11:07,621 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] User giggs has requested DirList
2017-11-02 11:11:30,490 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] User giggs get the file: gportal_password.txt
2017-11-02 11:11:58,331 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] User giggs has logged out
2017-11-02 11:12:02,959 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] Authentication success with user giggs!
2017-11-02 11:12:06,780 - __logger__ - INFO - [139659800135424, (2.55.13.196:59012)] User giggs has logged out
2017-11-02 11:12:42,461 - __logger__ - INFO - Got connection from: ('2.55.13.196', 59045)
2017-11-02 11:12:44,040 - __logger__ - INFO - [139659800135424, (2.55.13.196:59045)] Authentication success with user gportal!
