2016-04-07 20:55:33,785 - __logger__ - DEBUG - The server's logger has been initialized!
2016-04-07 20:55:33,786 - __logger__ - INFO - Enters the main loop
2016-04-07 21:02:42,622 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64041)
2016-04-07 21:02:42,628 - __logger__ - INFO - [140542282381056, (5.29.237.30:64041)] Authentication success with user giggs!
2016-04-07 21:03:10,149 - __logger__ - INFO - [140542282381056, (5.29.237.30:64041)] User giggs has requested DirList
2016-04-07 21:03:34,101 - __logger__ - INFO - [140542282381056, (5.29.237.30:64041)] User giggs get the file: bullshit.txt
2016-04-07 21:04:30,442 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64051)
2016-04-07 21:04:30,446 - __logger__ - INFO - [140542282381056, (5.29.237.30:64051)] Authentication success with user giggs!
2016-04-07 21:04:37,263 - __logger__ - INFO - [140542282381056, (5.29.237.30:64051)] User giggs has requested DirList
2016-04-07 21:04:48,513 - __logger__ - INFO - [140542282381056, (5.29.237.30:64051)] User giggs get the file: gportal_password.txt
2016-04-07 21:05:40,996 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64056)
2016-04-07 21:05:41,000 - __logger__ - INFO - [140542282381056, (5.29.237.30:64056)] Authentication success with user gportal!
2016-04-07 21:05:44,762 - __logger__ - INFO - [140542282381056, (5.29.237.30:64056)] User gportal has requested DirList
2016-04-07 21:05:55,531 - __logger__ - INFO - [140542282381056, (5.29.237.30:64056)] User gportal get the file: 356.pdf
2016-04-07 21:06:32,931 - __logger__ - INFO - [140542282381056, (5.29.237.30:64056)] User gportal has requested DirList
2016-04-07 21:06:47,574 - __logger__ - INFO - [140542282381056, (5.29.237.30:64056)] User gportal get the file: presentation.pptx
2016-04-07 21:18:01,475 - __logger__ - INFO - Got connection from: ('5.29.237.30', 49482)
2016-04-07 21:18:01,480 - __logger__ - INFO - [140541664683776, (5.29.237.30:49482)] Authentication success with user giggs!
2016-04-07 21:18:07,795 - __logger__ - INFO - Got connection from: ('5.29.237.30', 49483)
2016-04-07 21:25:52,153 - __logger__ - INFO - Got connection from: ('5.29.237.30', 49649)
2016-04-07 21:42:05,473 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64394)
2016-04-07 21:44:44,637 - __logger__ - INFO - [140541664683776, (5.29.237.30:64394)] Authentication success with user gportal!
2016-04-07 21:44:51,584 - __logger__ - INFO - [140541664683776, (5.29.237.30:64394)] User gportal has requested DirList
2016-04-07 21:45:11,331 - __logger__ - INFO - [140541664683776, (5.29.237.30:64394)] User gportal get the file: 355.pdf
2016-04-07 21:45:36,293 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64467)
2016-04-07 21:45:36,297 - __logger__ - INFO - [140541664683776, (5.29.237.30:64467)] Authentication success with user gportal!
2016-04-07 21:45:39,137 - __logger__ - INFO - Got connection from: ('5.29.237.30', 64468)
2016-04-07 21:45:47,137 - __logger__ - INFO - [140541664683776, (5.29.237.30:64468)] Authentication success with user gportal!
2016-04-07 21:45:48,426 - __logger__ - INFO - [140541664683776, (5.29.237.30:64468)] User gportal has requested DirList
2016-04-07 21:45:57,472 - __logger__ - INFO - [140541664683776, (5.29.237.30:64468)] User gportal get the file: TOPSECRET.txt
2016-04-07 21:46:09,731 - __logger__ - INFO - [140541664683776, (5.29.237.30:64468)] User gportal get the file: 355.pdf
2016-04-08 07:18:22,483 - __logger__ - INFO - Got connection from: ('192.115.67.55', 56952)
2016-04-08 07:18:22,484 - __logger__ - INFO - [140541664683776, (192.115.67.55:56952)] Authentication success with user giggs!
2016-04-08 07:26:45,542 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51564)
2016-04-08 07:26:45,564 - __logger__ - INFO - [140541664683776, (109.65.57.38:51564)] Authentication success with user giggs!
2016-04-08 07:26:49,545 - __logger__ - INFO - [140541664683776, (109.65.57.38:51564)] User giggs has logged out
2016-04-08 07:47:48,253 - __logger__ - INFO - Got connection from: ('109.65.57.38', 50693)
2016-04-08 07:48:12,108 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50693)] Packet with less data than possible minimal has received!
2016-04-08 07:48:20,528 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50693)] Packet with less data than possible minimal has received!
2016-04-08 07:48:21,707 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50693)] Packet with less data than possible minimal has received!
2016-04-08 07:48:25,132 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50693)] Packet with less data than possible minimal has received!
2016-04-08 07:53:17,864 - __logger__ - INFO - Got connection from: ('109.65.57.38', 50903)
2016-04-08 07:54:37,852 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50903)] Packet with less data than possible minimal has received!
2016-04-08 07:55:13,586 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:50903)] Packet with less data than possible minimal has received!
2016-04-08 07:57:07,468 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51645)
2016-04-08 07:57:07,468 - __logger__ - INFO - [140541656291072, (109.65.57.38:51645)] Authentication success with user giggs!
2016-04-08 07:57:08,251 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5930)
2016-04-08 07:57:09,123 - __logger__ - INFO - [140541656291072, (109.65.57.38:51645)] User giggs has logged out
2016-04-08 07:57:19,103 - __logger__ - INFO - Got connection from: ('109.65.57.38', 56648)
2016-04-08 07:57:20,604 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5933)
2016-04-08 07:57:20,605 - __logger__ - DEBUG - [140541647898368, (109.65.57.38:5933)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:57:30,831 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5934)
2016-04-08 07:57:30,832 - __logger__ - DEBUG - [140541647898368, (109.65.57.38:5934)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:57:58,452 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5935)
2016-04-08 07:57:58,452 - __logger__ - DEBUG - [140541647898368, (109.65.57.38:5935)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:58:08,222 - __logger__ - DEBUG - [140541647898368, (109.65.57.38:5935)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:58:35,100 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51081)
2016-04-08 07:58:47,872 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5936)
2016-04-08 07:58:50,460 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:5936)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:59:09,746 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5937)
2016-04-08 07:59:19,509 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:5937)] Packet with invalid prefix or suffix has been received!
2016-04-08 07:59:35,528 - __logger__ - INFO - Got connection from: ('109.65.57.38', 5942)
2016-04-08 07:59:39,522 - __logger__ - DEBUG - [140541664683776, (109.65.57.38:5942)] Packet with invalid prefix or suffix has been received!
2016-04-08 08:00:49,834 - __logger__ - INFO - Got connection from: ('109.65.57.38', 2736)
2016-04-08 08:01:02,137 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51165)
2016-04-08 08:01:02,138 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:51165)] Packet with invalid prefix or suffix has been received!
2016-04-08 08:01:05,279 - __logger__ - INFO - [140541656291072, (109.65.57.38:56648)] Authentication success with user giggs!
2016-04-08 08:01:32,640 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51185)
2016-04-08 08:01:32,640 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:51185)] Packet with invalid prefix or suffix has been received!
2016-04-08 08:01:54,734 - __logger__ - INFO - Got connection from: ('109.65.57.38', 2739)
2016-04-08 08:02:01,235 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2739)] Packet with less data than possible minimal has received!
2016-04-08 08:02:32,887 - __logger__ - INFO - [140541656291072, (109.65.57.38:56648)] User giggs get the file: bullshit.txt
2016-04-08 08:02:39,753 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2739)] Packet with less data than possible minimal has received!
2016-04-08 08:02:57,014 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2739)] Packet with less data than possible minimal has received!
2016-04-08 08:03:16,384 - __logger__ - INFO - [140541656291072, (109.65.57.38:56648)] User giggs get the file: gportal_password.txt
2016-04-08 08:04:44,100 - __logger__ - DEBUG - [140541656291072, (109.65.57.38:56648)] Packet with invalid json structure has been received!
2016-04-08 08:04:59,265 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2739)] Packet with less data than possible minimal has received!
2016-04-08 08:05:26,856 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2739)] Packet with less data than possible minimal has received!
2016-04-08 08:05:56,019 - __logger__ - INFO - Got connection from: ('109.65.57.38', 2745)
2016-04-08 08:06:01,105 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2745)] Packet with less data than possible minimal has received!
2016-04-08 08:06:08,074 - __logger__ - INFO - Got connection from: ('109.65.57.38', 52316)
2016-04-08 08:06:25,833 - __logger__ - INFO - Got connection from: ('109.65.57.38', 52317)
2016-04-08 08:06:39,479 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2745)] Packet with less data than possible minimal has received!
2016-04-08 08:07:52,232 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51410)
2016-04-08 08:07:52,233 - __logger__ - DEBUG - [140541656291072, (109.65.57.38:51410)] Packet with invalid prefix or suffix has been received!
2016-04-08 08:08:11,955 - __logger__ - DEBUG - [140541639505664, (109.65.57.38:2745)] Packet with invalid prefix or suffix has been received!
2016-04-08 08:08:13,152 - __logger__ - INFO - Got connection from: ('109.65.57.38', 51422)
2016-04-08 08:08:13,152 - __logger__ - INFO - [140541656291072, (109.65.57.38:51422)] Authentication success with user giggs!
2016-04-08 08:08:27,662 - __logger__ - INFO - [140541639505664, (109.65.57.38:2745)] Authentication success with user giggs!
2016-04-08 08:08:28,210 - __logger__ - INFO - Got connection from: ('109.65.57.38', 52320)
2016-04-08 08:08:28,211 - __logger__ - INFO - [140541656291072, (109.65.57.38:52320)] Authentication success with user giggs!
2016-04-08 08:08:41,461 - __logger__ - INFO - Got connection from: ('109.65.57.38', 52321)
2016-04-08 08:08:41,461 - __logger__ - INFO - [140541656291072, (109.65.57.38:52321)] Authentication success with user giggs!
2016-04-08 08:09:27,050 - __logger__ - INFO - Got connection from: ('109.65.57.38', 56880)
