2021-07-25 15:39:57,676 - __logger__ - DEBUG - The server's logger has been initialized!
2021-07-25 15:39:57,677 - __logger__ - INFO - Enters the main loop
2021-07-25 15:40:03,593 - __logger__ - INFO - Got connection from: ('127.0.0.1', 59311)
2021-07-25 15:40:06,757 - __logger__ - INFO - [14428, (127.0.0.1:59311)] Authentication success with user gportal!
2021-07-25 15:40:18,486 - __logger__ - WARNING - [14428, (127.0.0.1:59311)] User gportal tried to get non-existing file: TOPSECRET.pdf
2021-07-25 15:40:33,959 - __logger__ - INFO - [14428, (127.0.0.1:59311)] User gportal get the file: TOPSECRET.txt
2021-07-25 15:40:48,460 - __logger__ - DEBUG - [14428, (127.0.0.1:59311)] Unknown error while receiving a packet!
2021-07-25 15:40:48,681 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63412)
2021-07-25 15:40:50,920 - __logger__ - INFO - [10760, (127.0.0.1:63412)] Authentication success with user gportal!
2021-07-25 15:41:09,475 - __logger__ - WARNING - [10760, (127.0.0.1:63412)] User gportal tried to get non-existing file: TOPSECRET.pdf
2021-07-25 15:41:09,630 - __logger__ - DEBUG - [10760, (127.0.0.1:63412)] Fin has been received!
2021-07-25 15:41:38,288 - __logger__ - INFO - Got connection from: ('127.0.0.1', 53516)
2021-07-25 15:42:58,805 - __logger__ - INFO - [19164, (127.0.0.1:53516)] Authentication success with user gportal!
2021-07-25 15:43:11,958 - __logger__ - INFO - [19164, (127.0.0.1:53516)] User gportal get the file: TOPSECRET.txt
2021-07-25 15:43:27,230 - __logger__ - DEBUG - [19164, (127.0.0.1:53516)] Unknown error while receiving a packet!
2021-07-25 15:43:27,382 - __logger__ - INFO - Got connection from: ('127.0.0.1', 51741)
2021-07-25 15:43:32,154 - __logger__ - INFO - [18520, (127.0.0.1:51741)] Authentication success with user gportal!
2021-07-25 15:43:49,830 - __logger__ - INFO - [18520, (127.0.0.1:51741)] User gportal get the file: TOPSECRET.txt
2021-07-25 15:44:18,844 - __logger__ - INFO - [18520, (127.0.0.1:51741)] User gportal get the file: ONLY_FOR_MACHSHILIM.txt
2021-07-25 15:48:46,084 - __logger__ - INFO - [18520, (127.0.0.1:51741)] User gportal get the file: 340.pdf
2021-07-25 15:48:46,224 - __logger__ - DEBUG - [18520, (127.0.0.1:51741)] Unknown error while receiving a packet!
2021-07-25 15:49:24,881 - __logger__ - INFO - Got connection from: ('127.0.0.1', 62589)
2021-07-25 15:49:32,064 - __logger__ - INFO - [20896, (127.0.0.1:62589)] Authentication success with user gportal!
2021-07-25 15:49:41,394 - __logger__ - INFO - [20896, (127.0.0.1:62589)] User gportal get the file: TOPSECRET.txt
2021-07-25 15:49:41,606 - __logger__ - DEBUG - [20896, (127.0.0.1:62589)] Fin has been received!
2021-07-25 15:50:16,282 - __logger__ - INFO - Got connection from: ('127.0.0.1', 62594)
2021-07-25 15:50:18,708 - __logger__ - INFO - [22968, (127.0.0.1:62594)] Authentication success with user gportal!
2021-07-25 15:50:23,990 - __logger__ - INFO - [22968, (127.0.0.1:62594)] User gportal get the file: 340.pdf
2021-07-25 15:50:24,143 - __logger__ - DEBUG - [22968, (127.0.0.1:62594)] Unknown error while receiving a packet!
2021-07-25 15:51:34,442 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52357)
2021-07-25 15:51:36,567 - __logger__ - INFO - [20324, (127.0.0.1:52357)] Authentication success with user gportal!
2021-07-25 15:51:43,126 - __logger__ - INFO - [20324, (127.0.0.1:52357)] User gportal get the file: 340.pdf
2021-07-25 15:51:43,277 - __logger__ - DEBUG - [20324, (127.0.0.1:52357)] Unknown error while receiving a packet!
2021-07-25 15:51:59,679 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52361)
2021-07-25 15:52:01,795 - __logger__ - INFO - [17336, (127.0.0.1:52361)] Authentication success with user gportal!
2021-07-25 15:52:18,163 - __logger__ - INFO - [17336, (127.0.0.1:52361)] User gportal get the file: 340.pdf
2021-07-25 15:52:18,315 - __logger__ - DEBUG - [17336, (127.0.0.1:52361)] Unknown error while receiving a packet!
2021-07-25 15:52:32,673 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52369)
2021-07-25 15:52:35,298 - __logger__ - INFO - [21596, (127.0.0.1:52369)] Authentication success with user gportal!
