2016-04-03 12:14:36,215 - __logger__ - DEBUG - The server's logger has been initialized!
2016-04-03 12:14:36,216 - __logger__ - INFO - Enters the main loop
2016-04-03 12:14:38,293 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36010)
2016-04-03 12:14:50,823 - __logger__ - INFO - [140164719646464, (109.65.30.82:36010)] Authentication success with user giggs!
2016-04-03 12:14:54,495 - __logger__ - INFO - [140164719646464, (109.65.30.82:36010)] User giggs has requested DirList
2016-04-03 12:15:16,679 - __logger__ - INFO - [140164719646464, (109.65.30.82:36010)] User giggs get the file: gportal_password.txt
2016-04-03 12:15:33,693 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36011)
2016-04-03 12:16:48,989 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36019)
2016-04-03 12:16:55,855 - __logger__ - INFO - [140164719646464, (109.65.30.82:36019)] Authentication success with user giggs!
2016-04-03 12:16:59,534 - __logger__ - INFO - [140164719646464, (109.65.30.82:36019)] User giggs has requested DirList
2016-04-03 12:17:13,486 - __logger__ - WARNING - [140164719646464, (109.65.30.82:36019)] User giggs tried to get non-existing file: gportal_password
2016-04-03 12:17:18,968 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36020)
2016-04-03 12:17:23,314 - __logger__ - INFO - [140164719646464, (109.65.30.82:36020)] Authentication success with user giggs!
2016-04-03 12:17:27,946 - __logger__ - INFO - [140164719646464, (109.65.30.82:36020)] User giggs has requested DirList
2016-04-03 12:17:47,618 - __logger__ - INFO - [140164719646464, (109.65.30.82:36020)] User giggs get the file: gportal_password.txt
2016-04-03 12:18:46,675 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36030)
2016-04-03 12:18:51,413 - __logger__ - INFO - [140164719646464, (109.65.30.82:36030)] Authentication success with user giggs!
2016-04-03 12:19:56,641 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36033)
2016-04-03 12:20:01,696 - __logger__ - INFO - [140164719646464, (109.65.30.82:36033)] Authentication success with user giggs!
2016-04-03 12:20:12,760 - __logger__ - INFO - [140164719646464, (109.65.30.82:36033)] User giggs get the file: gportal_password.txt
2016-04-03 12:23:15,842 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36043)
2016-04-03 12:23:21,058 - __logger__ - INFO - [140164719646464, (109.65.30.82:36043)] Authentication success with user giggs!
2016-04-03 12:23:23,426 - __logger__ - INFO - [140164719646464, (109.65.30.82:36043)] User giggs has logged out
2016-04-03 12:23:36,722 - __logger__ - INFO - [140164719646464, (109.65.30.82:36043)] Authentication success with user gportal!
