2021-07-26 11:42:09,177 - __logger__ - DEBUG - The server's logger has been initialized!
2021-07-26 11:42:09,178 - __logger__ - INFO - Enters the main loop
2021-07-26 11:43:31,921 - __logger__ - INFO - Got connection from: ('127.0.0.1', 64794)
2021-07-26 11:43:31,938 - __logger__ - INFO - [8100, (127.0.0.1:64794)] Authentication success with user gportal!
2021-07-26 11:43:31,952 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal has requested DirList
2021-07-26 11:43:31,967 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:43:31,984 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal get the file: 42takziv2004.xlsx.003
2021-07-26 11:43:32,129 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal has requested DirList
2021-07-26 11:43:32,149 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:43:32,170 - __logger__ - INFO - [8100, (127.0.0.1:64794)] User gportal get the file: 42takziv2004.xlsx.002
2021-07-26 11:43:32,175 - __logger__ - INFO - Got connection from: ('127.0.0.1', 64795)
2021-07-26 11:43:32,195 - __logger__ - INFO - [14512, (127.0.0.1:64795)] Authentication success with user gportal!
2021-07-26 11:43:32,211 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal has requested DirList
2021-07-26 11:43:32,231 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:43:32,251 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal get the file: 340.pdf
2021-07-26 11:43:32,360 - __logger__ - DEBUG - [8100, (127.0.0.1:64794)] Fin has been received!
2021-07-26 11:43:32,519 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal has requested DirList
2021-07-26 11:43:32,538 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal get the file: very_important.txt
2021-07-26 11:43:32,552 - __logger__ - INFO - [14512, (127.0.0.1:64795)] User gportal get the file: 42takziv2004.xlsx.001
2021-07-26 11:43:32,557 - __logger__ - INFO - Got connection from: ('127.0.0.1', 64796)
2021-07-26 11:43:32,573 - __logger__ - INFO - [232, (127.0.0.1:64796)] Authentication success with user gportal!
2021-07-26 11:43:32,587 - __logger__ - INFO - [232, (127.0.0.1:64796)] User gportal has requested DirList
2021-07-26 11:43:32,604 - __logger__ - INFO - [232, (127.0.0.1:64796)] User gportal get the file: very_important.txt
2021-07-26 11:43:32,619 - __logger__ - INFO - [232, (127.0.0.1:64796)] User gportal get the file: 2254133.log
