2020-11-27 10:13:00,320 - __logger__ - DEBUG - The server's logger has been initialized!
2020-11-27 10:13:00,327 - __logger__ - INFO - Enters the main loop
2020-11-27 10:13:39,652 - __logger__ - INFO - Got connection from: ('77.137.154.152', 1351)
2020-11-27 10:14:03,657 - __logger__ - INFO - Got connection from: ('77.137.154.152', 1146)
2020-11-27 10:15:56,198 - __logger__ - INFO - Got connection from: ('77.137.154.152', 1310)
2020-11-27 10:18:13,893 - __logger__ - INFO - Got connection from: ('141.226.195.30', 60863)
2020-11-27 10:18:13,893 - __logger__ - DEBUG - [140680408766208, (141.226.195.30:60863)] Packet with less data than possible minimal has received!
2020-11-27 10:18:20,648 - __logger__ - DEBUG - [140680408766208, (141.226.195.30:60863)] Packet with less data than possible minimal has received!
2020-11-27 10:18:51,160 - __logger__ - DEBUG - [140680408766208, (141.226.195.30:60863)] Packet with less data than possible minimal has received!
2020-11-27 10:18:51,288 - __logger__ - DEBUG - [140680408766208, (141.226.195.30:60863)] Packet with less data than possible minimal has received!
2020-11-27 10:20:14,258 - __logger__ - INFO - Got connection from: ('141.226.195.30', 60869)
2020-11-27 10:20:14,259 - __logger__ - DEBUG - [140680408766208, (141.226.195.30:60869)] Packet with less data than possible minimal has received!
2020-11-27 11:10:31,678 - __logger__ - INFO - Got connection from: ('80.82.68.29', 40618)
2020-11-27 11:10:31,679 - __logger__ - DEBUG - [140680408766208, (80.82.68.29:40618)] Packet with invalid prefix or suffix has been received!
2020-11-27 11:10:31,826 - __logger__ - DEBUG - [140680408766208, (80.82.68.29:40618)] Packet with invalid prefix or suffix has been received!
2020-11-27 11:22:03,658 - __logger__ - INFO - Got connection from: ('24.98.198.90', 33107)
2020-11-27 12:30:05,446 - __logger__ - INFO - Got connection from: ('45.148.10.28', 38882)
2020-11-27 12:30:05,446 - __logger__ - DEBUG - [140680408766208, (45.148.10.28:38882)] Packet with invalid prefix or suffix has been received!
2020-11-27 12:30:05,604 - __logger__ - DEBUG - [140680408766208, (45.148.10.28:38882)] Packet with invalid prefix or suffix has been received!
2020-11-27 12:31:35,637 - __logger__ - INFO - Got connection from: ('223.74.69.176', 31993)
2020-11-27 12:44:41,573 - __logger__ - INFO - Got connection from: ('80.82.68.29', 33172)
2020-11-27 12:44:41,573 - __logger__ - DEBUG - [140680408766208, (80.82.68.29:33172)] Packet with invalid prefix or suffix has been received!
2020-11-27 12:44:41,719 - __logger__ - DEBUG - [140680408766208, (80.82.68.29:33172)] Packet with invalid prefix or suffix has been received!
2020-11-27 14:28:14,457 - __logger__ - INFO - Got connection from: ('62.182.112.251', 57827)
2020-11-27 14:28:14,864 - __logger__ - DEBUG - [140680408766208, (62.182.112.251:57827)] Packet with invalid prefix or suffix has been received!
2020-11-27 14:28:15,050 - __logger__ - DEBUG - [140680408766208, (62.182.112.251:57827)] Packet with invalid prefix or suffix has been received!
2020-11-27 14:46:05,929 - __logger__ - INFO - Got connection from: ('103.138.8.165', 54555)
2020-11-27 14:46:05,930 - __logger__ - DEBUG - [140680408766208, (103.138.8.165:54555)] Packet with invalid prefix or suffix has been received!
2020-11-27 14:46:06,213 - __logger__ - DEBUG - [140680408766208, (103.138.8.165:54555)] Packet with invalid prefix or suffix has been received!
2020-11-27 17:13:24,311 - __logger__ - INFO - Got connection from: ('202.142.112.54', 53459)
