2016-04-03 06:51:06,491 - __logger__ - DEBUG - The server's logger has been initialized!
2016-04-03 06:51:06,492 - __logger__ - INFO - Enters the main loop
2016-04-03 06:52:40,086 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34253)
2016-04-03 06:52:40,087 - __logger__ - DEBUG - [140170415511296, (109.65.30.82:34253)] Packet with less data than possible minimal has received!
2016-04-03 07:15:57,854 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34365)
2016-04-03 07:17:17,267 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34368)
2016-04-03 07:18:23,716 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34371)
2016-04-03 07:19:14,468 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34382)
2016-04-03 07:19:44,999 - __logger__ - DEBUG - [140170415511296, (109.65.30.82:34382)] Packet with invalid json structure has been received!
2016-04-03 07:20:20,451 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34387)
2016-04-03 07:20:43,446 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34388)
2016-04-03 07:20:50,097 - __logger__ - DEBUG - [140170415511296, (109.65.30.82:34388)] Packet with invalid json structure has been received!
2016-04-03 07:21:23,977 - __logger__ - DEBUG - [140170415511296, (109.65.30.82:34388)] Packet with invalid json structure has been received!
2016-04-03 07:27:25,126 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34402)
2016-04-03 07:28:19,403 - __logger__ - INFO - Got connection from: ('109.65.30.82', 34403)
2016-04-03 07:28:27,572 - __logger__ - INFO - [140170415511296, (109.65.30.82:34403)] Authentication success with user giggs!
2016-04-03 07:39:19,568 - __logger__ - INFO - Got connection from: ('113.240.250.156', 35537)
2016-04-03 07:39:25,574 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:35537)] Packet with less data than possible minimal has received!
2016-04-03 07:39:30,801 - __logger__ - INFO - Got connection from: ('113.240.250.156', 56830)
2016-04-03 07:39:30,802 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:56830)] Packet with less data than possible minimal has received!
2016-04-03 07:39:36,019 - __logger__ - INFO - Got connection from: ('113.240.250.156', 50696)
2016-04-03 07:39:36,020 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:50696)] Packet with invalid prefix or suffix has been received!
2016-04-03 07:39:41,251 - __logger__ - INFO - Got connection from: ('113.240.250.156', 7768)
2016-04-03 07:39:41,252 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:7768)] Packet with less data than possible minimal has received!
2016-04-03 07:39:46,494 - __logger__ - INFO - Got connection from: ('113.240.250.156', 62421)
2016-04-03 07:39:46,496 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:62421)] Packet with less data than possible minimal has received!
2016-04-03 07:39:51,726 - __logger__ - INFO - Got connection from: ('113.240.250.156', 12797)
2016-04-03 07:39:51,728 - __logger__ - DEBUG - [140170407118592, (113.240.250.156:12797)] Packet with less data than possible minimal has received!
2016-04-03 07:39:56,935 - __logger__ - INFO - Got connection from: ('113.240.250.156', 26486)
