2016-04-03 17:29:40,999 - __logger__ - DEBUG - The server's logger has been initialized!
2016-04-03 17:29:41,000 - __logger__ - INFO - Enters the main loop
2016-04-03 17:29:53,410 - __logger__ - INFO - Got connection from: ('79.179.97.99', 51769)
2016-04-03 17:30:01,023 - __logger__ - INFO - [139705642784512, (79.179.97.99:51769)] Authentication success with user gportal!
2016-04-03 17:30:04,575 - __logger__ - INFO - [139705642784512, (79.179.97.99:51769)] User gportal has requested DirList
2016-04-03 17:30:44,525 - __logger__ - INFO - [139705642784512, (79.179.97.99:51769)] User gportal get the file: second.png
2016-04-03 17:31:43,292 - __logger__ - INFO - Got connection from: ('79.179.97.99', 51842)
2016-04-03 17:31:46,403 - __logger__ - INFO - [139705642784512, (79.179.97.99:51842)] Authentication success with user gportal!
2016-04-03 17:31:49,530 - __logger__ - INFO - [139705642784512, (79.179.97.99:51842)] User gportal has requested DirList
2016-04-03 17:31:54,944 - __logger__ - INFO - [139705642784512, (79.179.97.99:51842)] User gportal get the file: second.png
2016-04-03 17:32:11,185 - __logger__ - INFO - Got connection from: ('79.179.97.99', 51846)
2016-04-03 17:32:14,606 - __logger__ - INFO - [139705642784512, (79.179.97.99:51846)] Authentication success with user gportal!
2016-04-03 17:32:15,540 - __logger__ - INFO - [139705642784512, (79.179.97.99:51846)] User gportal has requested DirList
2016-04-03 17:32:19,543 - __logger__ - INFO - [139705642784512, (79.179.97.99:51846)] User gportal get the file: second.png
2016-04-03 17:32:43,973 - __logger__ - INFO - Got connection from: ('79.179.97.99', 51850)
2016-04-03 17:32:50,913 - __logger__ - INFO - [139705642784512, (79.179.97.99:51850)] Authentication success with user gportal!
2016-04-03 17:32:51,655 - __logger__ - INFO - [139705642784512, (79.179.97.99:51850)] User gportal has requested DirList
2016-04-03 17:32:53,310 - __logger__ - INFO - [139705642784512, (79.179.97.99:51850)] User gportal get the file: second.png
2016-04-03 22:14:16,491 - __logger__ - INFO - Got connection from: ('79.179.97.99', 60469)
2016-04-03 22:14:38,127 - __logger__ - INFO - [139705634391808, (79.179.97.99:60469)] Authentication success with user giggs!
2016-04-03 22:15:35,274 - __logger__ - INFO - Got connection from: ('79.179.97.99', 60498)
2016-04-03 22:15:37,603 - __logger__ - INFO - [139705634391808, (79.179.97.99:60498)] Authentication success with user giggs!
2016-04-03 22:16:40,153 - __logger__ - INFO - Got connection from: ('79.179.97.99', 60514)
2016-04-03 22:16:41,953 - __logger__ - INFO - [139705634391808, (79.179.97.99:60514)] Authentication success with user giggs!
2016-04-03 22:18:13,594 - __logger__ - INFO - Got connection from: ('79.179.97.99', 60551)
2016-04-03 22:18:14,693 - __logger__ - INFO - [139705634391808, (79.179.97.99:60551)] Authentication success with user giggs!
2016-04-03 22:19:41,673 - __logger__ - INFO - Got connection from: ('79.179.97.99', 60585)
