2020-12-12 16:55:53,338 - __logger__ - DEBUG - The server's logger has been initialized!
2020-12-12 16:55:53,344 - __logger__ - INFO - Enters the main loop
2020-12-12 18:17:29,504 - __logger__ - INFO - Got connection from: ('80.82.68.29', 54396)
2020-12-12 18:17:29,505 - __logger__ - DEBUG - [139726896441088, (80.82.68.29:54396)] Packet with invalid prefix or suffix has been received!
2020-12-12 18:17:29,641 - __logger__ - DEBUG - [139726896441088, (80.82.68.29:54396)] Packet with invalid prefix or suffix has been received!
2020-12-12 19:23:07,442 - __logger__ - INFO - Got connection from: ('77.139.1.21', 1947)
2020-12-12 19:25:46,916 - __logger__ - INFO - Got connection from: ('77.139.1.21', 1986)
2020-12-12 19:26:40,019 - __logger__ - INFO - Got connection from: ('77.139.1.21', 1989)
2020-12-12 19:27:53,518 - __logger__ - INFO - Got connection from: ('83.97.20.34', 15357)
2020-12-12 19:27:53,519 - __logger__ - DEBUG - [139726896441088, (83.97.20.34:15357)] Packet with less data than possible minimal has received!
2020-12-12 19:32:37,556 - __logger__ - INFO - Got connection from: ('77.139.1.21', 2684)
2020-12-12 19:36:46,689 - __logger__ - INFO - Got connection from: ('77.139.1.21', 2703)
2020-12-12 19:36:54,146 - __logger__ - INFO - Got connection from: ('77.139.1.21', 2704)
2020-12-12 19:38:48,339 - __logger__ - INFO - Got connection from: ('217.132.49.231', 54067)
2020-12-12 19:39:02,142 - __logger__ - INFO - Got connection from: ('217.132.49.231', 54069)
2020-12-12 19:39:02,144 - __logger__ - INFO - [139726896441088, (217.132.49.231:54069)] Authentication success with user giggs!
2020-12-12 19:39:13,385 - __logger__ - INFO - [139726896441088, (217.132.49.231:54069)] User giggs has requested DirList
2020-12-12 19:39:21,049 - __logger__ - INFO - [139726896441088, (217.132.49.231:54069)] User giggs get the file: gportal_password.txt
2020-12-12 19:39:25,149 - __logger__ - INFO - [139726896441088, (217.132.49.231:54069)] User giggs has logged out
2020-12-12 20:10:10,356 - __logger__ - INFO - Got connection from: ('80.82.68.29', 49528)
2020-12-12 20:10:10,356 - __logger__ - DEBUG - [139726896441088, (80.82.68.29:49528)] Packet with invalid prefix or suffix has been received!
2020-12-12 20:10:10,495 - __logger__ - DEBUG - [139726896441088, (80.82.68.29:49528)] Packet with invalid prefix or suffix has been received!
2020-12-12 20:13:31,844 - __logger__ - INFO - Got connection from: ('45.150.206.103', 61485)
2020-12-12 20:13:33,853 - __logger__ - DEBUG - [139726896441088, (45.150.206.103:61485)] Packet with less data than possible minimal has received!
2020-12-12 23:38:37,484 - __logger__ - INFO - Got connection from: ('89.139.17.145', 51179)
2020-12-12 23:39:38,734 - __logger__ - INFO - Got connection from: ('89.139.17.145', 51324)
2020-12-12 23:40:10,756 - __logger__ - INFO - Got connection from: ('89.139.17.145', 51399)
2020-12-12 23:41:03,967 - __logger__ - INFO - Got connection from: ('89.139.17.145', 51532)
2020-12-12 23:41:50,149 - __logger__ - INFO - Got connection from: ('89.139.17.145', 51655)
2020-12-12 23:49:42,858 - __logger__ - INFO - Got connection from: ('89.139.17.145', 50507)
2020-12-12 23:49:56,920 - __logger__ - INFO - Got connection from: ('89.139.17.145', 50542)
2020-12-12 23:51:13,192 - __logger__ - INFO - Got connection from: ('89.139.17.145', 50747)
2020-12-12 23:51:16,210 - __logger__ - INFO - [139726896441088, (89.139.17.145:50747)] Authentication success with user giggs!
2020-12-12 23:53:36,747 - __logger__ - INFO - Got connection from: ('89.139.17.145', 52119)
2020-12-12 23:53:39,967 - __logger__ - INFO - [139726896441088, (89.139.17.145:52119)] Authentication success with user giggs!
2020-12-12 23:53:53,048 - __logger__ - INFO - [139726896441088, (89.139.17.145:52119)] User giggs has requested DirList
2020-12-12 23:54:16,499 - __logger__ - WARNING - [139726896441088, (89.139.17.145:52119)] User giggs tried to get non-existing file: bulshit.txt
2020-12-12 23:55:55,869 - __logger__ - INFO - Got connection from: ('89.139.17.145', 52412)
2020-12-12 23:56:01,295 - __logger__ - INFO - [139726896441088, (89.139.17.145:52412)] Authentication success with user giggs!
2020-12-12 23:56:08,477 - __logger__ - INFO - [139726896441088, (89.139.17.145:52412)] User giggs has requested DirList
2020-12-12 23:57:08,619 - __logger__ - INFO - [139726896441088, (89.139.17.145:52412)] User giggs get the file: bullshit.txt
2020-12-12 23:58:41,347 - __logger__ - INFO - Got connection from: ('89.139.17.145', 52781)
2020-12-12 23:58:44,303 - __logger__ - INFO - [139726896441088, (89.139.17.145:52781)] Authentication success with user giggs!
2020-12-12 23:58:48,133 - __logger__ - INFO - [139726896441088, (89.139.17.145:52781)] User giggs has requested DirList
2020-12-12 23:59:10,415 - __logger__ - INFO - [139726896441088, (89.139.17.145:52781)] User giggs get the file: bullshit.txt
2020-12-13 00:00:04,067 - __logger__ - INFO - Got connection from: ('89.139.17.145', 52957)
2020-12-13 00:00:07,018 - __logger__ - INFO - [139726896441088, (89.139.17.145:52957)] Authentication success with user giggs!
2020-12-13 00:00:14,078 - __logger__ - INFO - [139726896441088, (89.139.17.145:52957)] User giggs has requested DirList
2020-12-13 00:00:30,626 - __logger__ - INFO - [139726896441088, (89.139.17.145:52957)] User giggs get the file: bullshit.txt
2020-12-13 00:01:29,613 - __logger__ - INFO - [139726896441088, (89.139.17.145:52957)] User giggs get the file: gportal_password.txt
2020-12-13 00:01:38,521 - __logger__ - INFO - [139726896441088, (89.139.17.145:52957)] User giggs has logged out
2020-12-13 00:02:38,051 - __logger__ - INFO - Got connection from: ('89.139.17.145', 53834)
2020-12-13 00:02:41,482 - __logger__ - INFO - [139726896441088, (89.139.17.145:53834)] Authentication success with user gportal!
2020-12-13 00:03:05,680 - __logger__ - INFO - [139726896441088, (89.139.17.145:53834)] User gportal has requested DirList
2020-12-13 00:04:00,593 - __logger__ - INFO - [139726896441088, (89.139.17.145:53834)] User gportal get the file: TOPSECRET.txt
2020-12-13 00:04:38,681 - __logger__ - INFO - [139726896441088, (89.139.17.145:53834)] User gportal get the file: SecretCrazyRoomSouth.zip
2020-12-13 00:16:12,856 - __logger__ - INFO - Got connection from: ('118.93.123.108', 53927)
2020-12-13 00:16:13,001 - __logger__ - DEBUG - [139726888048384, (118.93.123.108:53927)] Packet with invalid prefix or suffix has been received!
2020-12-13 05:43:47,422 - __logger__ - INFO - Got connection from: ('80.82.68.30', 58078)
2020-12-13 05:43:47,423 - __logger__ - DEBUG - [139726888048384, (80.82.68.30:58078)] Packet with invalid prefix or suffix has been received!
2020-12-13 05:43:47,561 - __logger__ - DEBUG - [139726888048384, (80.82.68.30:58078)] Packet with invalid prefix or suffix has been received!
2020-12-13 06:07:28,999 - __logger__ - INFO - Got connection from: ('80.82.68.30', 33608)
2020-12-13 06:07:29,000 - __logger__ - DEBUG - [139726888048384, (80.82.68.30:33608)] Packet with invalid prefix or suffix has been received!
2020-12-13 06:07:29,137 - __logger__ - DEBUG - [139726888048384, (80.82.68.30:33608)] Packet with invalid prefix or suffix has been received!
2020-12-13 07:07:59,527 - __logger__ - INFO - Got connection from: ('89.139.17.145', 56350)
2020-12-13 08:15:47,230 - __logger__ - INFO - Got connection from: ('77.126.92.161', 33673)
2020-12-13 08:15:47,231 - __logger__ - DEBUG - [139726888048384, (77.126.92.161:33673)] Packet with invalid prefix or suffix has been received!
2020-12-13 08:15:47,244 - __logger__ - INFO - Got connection from: ('77.126.92.161', 33672)
2020-12-13 08:15:48,574 - __logger__ - DEBUG - [139726879655680, (77.126.92.161:33672)] Packet with invalid prefix or suffix has been received!
2020-12-13 08:15:48,775 - __logger__ - INFO - Got connection from: ('77.126.92.161', 33676)
2020-12-13 08:40:59,786 - __logger__ - INFO - Got connection from: ('203.177.1.50', 35707)
2020-12-13 08:40:59,998 - __logger__ - INFO - Got connection from: ('203.177.1.50', 35710)
2020-12-13 08:41:00,000 - __logger__ - DEBUG - [139726879655680, (203.177.1.50:35710)] Packet with less data than possible minimal has received!
2020-12-13 08:41:02,244 - __logger__ - INFO - Got connection from: ('203.177.1.50', 35718)
2020-12-13 08:41:02,251 - __logger__ - DEBUG - [139726888048384, (203.177.1.50:35718)] Packet with less data than possible minimal has received!
2020-12-13 08:41:04,508 - __logger__ - INFO - Got connection from: ('203.177.1.50', 35727)
2020-12-13 08:41:04,511 - __logger__ - DEBUG - [139726888048384, (203.177.1.50:35727)] Packet with less data than possible minimal has received!
2020-12-13 08:41:06,759 - __logger__ - INFO - Got connection from: ('203.177.1.50', 35735)
2020-12-13 08:41:06,760 - __logger__ - DEBUG - [139726888048384, (203.177.1.50:35735)] Packet with less data than possible minimal has received!
2020-12-13 09:15:23,466 - __logger__ - INFO - Got connection from: ('34.77.93.233', 50528)
