2021-07-26 11:17:45,620 - __logger__ - DEBUG - The server's logger has been initialized!
2021-07-26 11:17:45,623 - __logger__ - INFO - Enters the main loop
2021-07-26 11:17:50,113 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63049)
2021-07-26 11:17:50,131 - __logger__ - INFO - [9780, (127.0.0.1:63049)] Authentication success with user gportal!
2021-07-26 11:17:50,144 - __logger__ - INFO - [9780, (127.0.0.1:63049)] User gportal has requested DirList
2021-07-26 11:17:50,160 - __logger__ - INFO - [9780, (127.0.0.1:63049)] User gportal get the file: very_important.txt
2021-07-26 11:17:50,177 - __logger__ - INFO - [9780, (127.0.0.1:63049)] User gportal get the file: 341.pdf
2021-07-26 11:17:50,318 - __logger__ - DEBUG - [9780, (127.0.0.1:63049)] Fin has been received!
2021-07-26 11:23:22,011 - __logger__ - INFO - Got connection from: ('127.0.0.1', 61433)
2021-07-26 11:23:22,027 - __logger__ - INFO - [12168, (127.0.0.1:61433)] Authentication success with user gportal!
2021-07-26 11:23:22,042 - __logger__ - INFO - [12168, (127.0.0.1:61433)] User gportal has requested DirList
2021-07-26 11:23:22,061 - __logger__ - INFO - [12168, (127.0.0.1:61433)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:23:22,075 - __logger__ - INFO - [12168, (127.0.0.1:61433)] User gportal get the file: SecretCrazyRoomSouth.zip
2021-07-26 11:23:22,284 - __logger__ - DEBUG - [12168, (127.0.0.1:61433)] Fin has been received!
2021-07-26 11:23:45,050 - __logger__ - INFO - Got connection from: ('127.0.0.1', 61438)
2021-07-26 11:23:45,066 - __logger__ - INFO - [22120, (127.0.0.1:61438)] Authentication success with user gportal!
2021-07-26 11:23:45,080 - __logger__ - INFO - [22120, (127.0.0.1:61438)] User gportal has requested DirList
2021-07-26 11:23:45,098 - __logger__ - INFO - [22120, (127.0.0.1:61438)] User gportal get the file: 2254133.log
2021-07-26 11:23:45,243 - __logger__ - DEBUG - [22120, (127.0.0.1:61438)] Unknown error while receiving a packet!
2021-07-26 11:24:02,253 - __logger__ - INFO - Got connection from: ('127.0.0.1', 61441)
2021-07-26 11:24:07,852 - __logger__ - INFO - [23440, (127.0.0.1:61441)] Authentication success with user gportal!
2021-07-26 11:24:52,604 - __logger__ - INFO - [23440, (127.0.0.1:61441)] User gportal has requested DirList
2021-07-26 11:25:01,869 - __logger__ - INFO - [23440, (127.0.0.1:61441)] User gportal get the file: 2254133.log
2021-07-26 11:25:02,020 - __logger__ - DEBUG - [23440, (127.0.0.1:61441)] Unknown error while receiving a packet!
2021-07-26 11:25:32,604 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52152)
2021-07-26 11:25:32,618 - __logger__ - INFO - [3776, (127.0.0.1:52152)] Authentication success with user gportal!
2021-07-26 11:25:32,633 - __logger__ - INFO - [3776, (127.0.0.1:52152)] User gportal has requested DirList
2021-07-26 11:25:32,648 - __logger__ - INFO - [3776, (127.0.0.1:52152)] User gportal get the file: ONLY_FOR_MACHSHILIM.txt
2021-07-26 11:25:32,660 - __logger__ - INFO - [3776, (127.0.0.1:52152)] User gportal get the file: 42takziv2004.xlsx.003
2021-07-26 11:25:32,663 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52153)
2021-07-26 11:25:32,679 - __logger__ - INFO - [18416, (127.0.0.1:52153)] Authentication success with user gportal!
2021-07-26 11:25:32,700 - __logger__ - INFO - [18416, (127.0.0.1:52153)] User gportal has requested DirList
2021-07-26 11:25:32,714 - __logger__ - INFO - [18416, (127.0.0.1:52153)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:25:32,781 - __logger__ - DEBUG - [3776, (127.0.0.1:52152)] Fin has been received!
2021-07-26 11:25:32,785 - __logger__ - INFO - [18416, (127.0.0.1:52153)] User gportal get the file: 42takziv2004.xlsx.002
2021-07-26 11:25:32,790 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52154)
2021-07-26 11:25:32,805 - __logger__ - INFO - [5816, (127.0.0.1:52154)] Authentication success with user gportal!
2021-07-26 11:25:32,822 - __logger__ - INFO - [5816, (127.0.0.1:52154)] User gportal has requested DirList
2021-07-26 11:25:32,844 - __logger__ - INFO - [5816, (127.0.0.1:52154)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:25:32,866 - __logger__ - INFO - [5816, (127.0.0.1:52154)] User gportal get the file: SecretCrazyRoomCenter.zip
2021-07-26 11:25:32,898 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52155)
2021-07-26 11:25:32,975 - __logger__ - INFO - [20908, (127.0.0.1:52155)] Authentication success with user gportal!
2021-07-26 11:25:32,994 - __logger__ - INFO - [20908, (127.0.0.1:52155)] User gportal has requested DirList
2021-07-26 11:25:33,080 - __logger__ - DEBUG - [18416, (127.0.0.1:52153)] Fin has been received!
2021-07-26 11:25:33,105 - __logger__ - INFO - [20908, (127.0.0.1:52155)] User gportal get the file: ONLY_FOR_MACHSHILIM.txt
2021-07-26 11:25:33,197 - __logger__ - DEBUG - [5816, (127.0.0.1:52154)] Fin has been received!
2021-07-26 11:25:33,200 - __logger__ - INFO - [20908, (127.0.0.1:52155)] User gportal get the file: 42takziv2004.xlsx.001
2021-07-26 11:25:33,205 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52157)
2021-07-26 11:25:33,223 - __logger__ - INFO - [7092, (127.0.0.1:52157)] Authentication success with user gportal!
2021-07-26 11:25:33,239 - __logger__ - INFO - [7092, (127.0.0.1:52157)] User gportal has requested DirList
2021-07-26 11:25:33,259 - __logger__ - INFO - [7092, (127.0.0.1:52157)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:25:33,277 - __logger__ - INFO - [7092, (127.0.0.1:52157)] User gportal get the file: 341.pdf
2021-07-26 11:25:33,284 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52158)
2021-07-26 11:25:33,307 - __logger__ - INFO - [21936, (127.0.0.1:52158)] Authentication success with user gportal!
2021-07-26 11:25:33,325 - __logger__ - INFO - [21936, (127.0.0.1:52158)] User gportal has requested DirList
2021-07-26 11:25:33,351 - __logger__ - INFO - [21936, (127.0.0.1:52158)] User gportal get the file: very_important.txt
2021-07-26 11:25:33,449 - __logger__ - DEBUG - [20908, (127.0.0.1:52155)] Fin has been received!
2021-07-26 11:25:33,453 - __logger__ - INFO - [21936, (127.0.0.1:52158)] User gportal get the file: SecretCrazyRoomNorth.zip
2021-07-26 11:25:33,469 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52159)
2021-07-26 11:25:33,495 - __logger__ - INFO - [19496, (127.0.0.1:52159)] Authentication success with user gportal!
2021-07-26 11:25:33,639 - __logger__ - INFO - [19496, (127.0.0.1:52159)] User gportal has requested DirList
2021-07-26 11:25:33,639 - __logger__ - DEBUG - [7092, (127.0.0.1:52157)] Fin has been received!
2021-07-26 11:25:33,662 - __logger__ - INFO - [19496, (127.0.0.1:52159)] User gportal get the file: TOPSECRET.txt
2021-07-26 11:25:33,681 - __logger__ - INFO - [19496, (127.0.0.1:52159)] User gportal get the file: SecretCrazyRoomNorth.zip
2021-07-26 11:25:33,693 - __logger__ - INFO - Got connection from: ('127.0.0.1', 52160)
2021-07-26 11:25:33,757 - __logger__ - DEBUG - [21936, (127.0.0.1:52158)] Fin has been received!
2021-07-26 11:25:33,775 - __logger__ - INFO - [22352, (127.0.0.1:52160)] Authentication success with user gportal!
2021-07-26 11:25:33,791 - __logger__ - INFO - [22352, (127.0.0.1:52160)] User gportal has requested DirList
