2016-04-03 13:21:08,197 - __logger__ - DEBUG - The server's logger has been initialized!
2016-04-03 13:21:08,198 - __logger__ - INFO - Enters the main loop
2016-04-03 13:21:30,758 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36452)
2016-04-03 13:21:32,509 - __logger__ - INFO - [140715459634944, (109.65.30.82:36452)] Authentication success with user gportal!
2016-04-03 13:21:36,470 - __logger__ - INFO - [140715459634944, (109.65.30.82:36452)] User gportal get the file: 340.pdf
2016-04-03 13:23:39,356 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36455)
2016-04-03 13:23:42,297 - __logger__ - INFO - [140715459634944, (109.65.30.82:36455)] Authentication success with user gportal!
2016-04-03 13:23:53,978 - __logger__ - INFO - [140715459634944, (109.65.30.82:36455)] User gportal get the file: 340.pdf
2016-04-03 13:41:03,133 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36648)
2016-04-03 13:41:05,575 - __logger__ - INFO - [140715459634944, (109.65.30.82:36648)] Authentication success with user gportal!
2016-04-03 13:41:31,256 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36649)
2016-04-03 13:41:34,127 - __logger__ - INFO - [140715459634944, (109.65.30.82:36649)] Authentication success with user gportal!
2016-04-03 13:41:41,119 - __logger__ - INFO - [140715459634944, (109.65.30.82:36649)] User gportal get the file: 340.pdf
2016-04-03 13:43:39,579 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36650)
2016-04-03 13:43:41,206 - __logger__ - INFO - [140715459634944, (109.65.30.82:36650)] Authentication success with user gportal!
2016-04-03 13:43:46,429 - __logger__ - INFO - [140715459634944, (109.65.30.82:36650)] User gportal get the file: 340.pdf
2016-04-03 13:44:33,685 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36652)
2016-04-03 13:44:35,172 - __logger__ - INFO - [140715459634944, (109.65.30.82:36652)] Authentication success with user gportal!
2016-04-03 13:44:40,990 - __logger__ - INFO - [140715459634944, (109.65.30.82:36652)] User gportal get the file: 340.pdf
2016-04-03 13:49:07,512 - __logger__ - INFO - Got connection from: ('109.65.30.82', 36694)
2016-04-03 13:49:08,792 - __logger__ - INFO - [140715459634944, (109.65.30.82:36694)] Authentication success with user gportal!
2016-04-03 13:49:14,282 - __logger__ - INFO - [140715459634944, (109.65.30.82:36694)] User gportal get the file: 340.pdf
