2021-07-26 11:09:05,682 - __logger__ - DEBUG - The server's logger has been initialized!
2021-07-26 11:09:05,683 - __logger__ - INFO - Enters the main loop
2021-07-26 11:09:08,654 - __logger__ - INFO - Got connection from: ('127.0.0.1', 49237)
2021-07-26 11:09:15,383 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63598)
2021-07-26 11:09:15,400 - __logger__ - INFO - [15328, (127.0.0.1:63598)] Authentication success with user gportal!
2021-07-26 11:09:15,419 - __logger__ - INFO - [15328, (127.0.0.1:63598)] User gportal get the file: SecretCrazyRoomNorth.zip
2021-07-26 11:09:15,766 - __logger__ - DEBUG - [15328, (127.0.0.1:63598)] Unknown error while receiving a packet!
2021-07-26 11:09:40,897 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63602)
2021-07-26 11:09:40,913 - __logger__ - INFO - [23528, (127.0.0.1:63602)] Authentication success with user gportal!
2021-07-26 11:09:40,927 - __logger__ - INFO - [23528, (127.0.0.1:63602)] User gportal get the file: 2254133.log
2021-07-26 11:09:41,055 - __logger__ - DEBUG - [23528, (127.0.0.1:63602)] Unknown error while receiving a packet!
2021-07-26 11:09:53,426 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63604)
2021-07-26 11:09:53,461 - __logger__ - INFO - [9276, (127.0.0.1:63604)] Authentication success with user gportal!
2021-07-26 11:09:53,481 - __logger__ - INFO - [9276, (127.0.0.1:63604)] User gportal has requested DirList
2021-07-26 11:09:53,502 - __logger__ - INFO - [9276, (127.0.0.1:63604)] User gportal get the file: very_important.txt
2021-07-26 11:09:53,864 - __logger__ - DEBUG - [9276, (127.0.0.1:63604)] Fin has been received!
2021-07-26 11:10:26,311 - __logger__ - INFO - Got connection from: ('127.0.0.1', 63610)
2021-07-26 11:10:26,330 - __logger__ - INFO - [4544, (127.0.0.1:63610)] Authentication success with user gportal!
2021-07-26 11:10:26,342 - __logger__ - INFO - [4544, (127.0.0.1:63610)] User gportal has requested DirList
2021-07-26 11:10:26,357 - __logger__ - INFO - [4544, (127.0.0.1:63610)] User gportal get the file: SecretCrazyRoomNorth.zip
