2016-12-15 15:39:11,207 - __logger__ - DEBUG - The server's logger has been initialized!
2016-12-15 15:39:11,213 - __logger__ - INFO - Enters the main loop
2016-12-16 10:19:58,228 - __logger__ - DEBUG - [139945872189184, (2.53.146.201:7457)] Packet with invalid json structure has been received!
2016-12-16 10:20:03,329 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] User gportal has requested DirList
2016-12-16 10:20:13,358 - __logger__ - INFO - [139945863796480, (2.53.146.201:7608)] Authentication success with user giggs!
2016-12-16 10:20:37,829 - __logger__ - INFO - Got connection from: ('109.67.62.22', 62374)
2016-12-16 10:20:52,376 - __logger__ - INFO - [139945863796480, (2.53.146.201:7608)] User giggs get the file: gportal_password.txt
2016-12-16 10:22:00,750 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] User gportal get the file: TOPSECRET.txt
2016-12-16 10:22:20,328 - __logger__ - INFO - Got connection from: ('2.53.146.201', 7618)
2016-12-16 10:22:36,032 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52040)
2016-12-16 10:22:54,416 - __logger__ - INFO - [139945863796480, (2.53.146.201:7618)] Authentication success with user gportal!
2016-12-16 10:22:54,593 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] Authentication success with user giggs!
2016-12-16 10:23:01,151 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17107)
2016-12-16 10:23:01,153 - __logger__ - INFO - [139946490648320, (109.67.62.22:17107)] Authentication success with user giggs!
2016-12-16 10:23:07,312 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] User gportal get the file: 341.pdf
2016-12-16 10:23:19,687 - __logger__ - INFO - [139945863796480, (2.53.146.201:7618)] User gportal has requested DirList
2016-12-16 10:23:22,811 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] User giggs has requested DirList
2016-12-16 10:23:45,932 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] User giggs get the file: bullshit.txt
2016-12-16 10:23:55,522 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50567)
2016-12-16 10:24:09,689 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] Authentication success with user gportal!
2016-12-16 10:24:12,429 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17111)
2016-12-16 10:24:12,440 - __logger__ - INFO - [139945855403776, (109.67.62.22:17111)] Authentication success with user giggs!
2016-12-16 10:24:12,735 - __logger__ - INFO - [139945855403776, (109.67.62.22:17111)] User giggs get the file: gportal_password.txt
2016-12-16 10:24:17,309 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] User gportal get the file: 341.pdf
2016-12-16 10:24:38,801 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] User gportal has requested DirList
2016-12-16 10:24:45,447 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] User gportal has requested DirList
2016-12-16 10:24:46,726 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17116)
2016-12-16 10:24:46,728 - __logger__ - INFO - [139945855403776, (109.67.62.22:17116)] Authentication success with user giggs!
2016-12-16 10:24:47,035 - __logger__ - INFO - [139945855403776, (109.67.62.22:17116)] User giggs get the file: gportal_password.txt
2016-12-16 10:24:47,648 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] User gportal has requested DirList
2016-12-16 10:24:48,580 - __logger__ - INFO - [139946490648320, (95.35.155.50:50567)] User gportal has requested DirList
2016-12-16 10:24:50,890 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] User giggs get the file: gportal_password.txt
2016-12-16 10:25:59,002 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50572)
2016-12-16 10:26:18,679 - __logger__ - INFO - Got connection from: ('109.67.62.22', 3119)
2016-12-16 10:26:22,143 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50574)
2016-12-16 10:26:23,993 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17166)
2016-12-16 10:26:23,995 - __logger__ - INFO - [139945847011072, (109.67.62.22:17166)] Authentication success with user gportal!
2016-12-16 10:26:35,728 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5682)
2016-12-16 10:26:35,729 - __logger__ - DEBUG - [139945847011072, (109.67.62.22:5682)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:26:44,782 - __logger__ - INFO - [139945855403776, (95.35.155.50:50574)] Authentication success with user giggs!
2016-12-16 10:26:57,161 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50575)
2016-12-16 10:27:03,429 - __logger__ - DEBUG - [139946490648320, (109.67.62.22:3119)] Packet with invalid prefix or suffix has been received!
